event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
wikileaks-western-union-interdiction-2010-12,261,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
1inch-us-geofence-2021-09,1,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
aave-arc-fireblocks-whitelist-2022-01,2,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
aave-tornado-frontend-block-2022-08,3,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
argentina-cnv-psav-registration-2024,7,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
argentina-uif-resolution-300-2014,8,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
binance-busd-wind-down-2024,14,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bitfinex-tether-nyag-2021,22,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bitmex-fincen-2024,24,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bitstamp-greece-portugal-exit-2023,25,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bolivia-bcb-crypto-prohibition-2014,29,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
brazil-bacen-stablecoin-restriction-2023,30,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
brazil-bcb-comunicado-25306-2014,31,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
bybit-singapore-exit-2022,33,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
china-ico-ban-2017-09,40,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
china-inner-mongolia-mining-ban-2021-05,41,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
circle-usdc-cryptex-freeze-2024,50,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
cloudflare-ethereum-gateway-tornado-block-2022-08,53,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
coin-mx-doj-murgio-2015,54,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
coinbase-japan-exit-2023,57,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
