event_id,research_stratum,empirical_shape,admission_tier,applicable_layer_count,coverage_denominator_layer_count,non_na_layer_count,changed_layer_count,coverage_matched_changed_layer_count,cascade_breadth,non_na_cascade_breadth,time_to_first_change_hours,time_to_last_change_hours,cascade_span_hours,direct_attribution_layer_count,plausible_attribution_layer_count,recovered_layer_count,unrecovered_layer_count,recovery_unknown_layer_count,recovery_rate,mean_resolved_hours,coverage_measured_count,coverage_partial_count,coverage_gap_count,primary_source_count,semi_primary_source_count,primary_onchain_source_count,changed_action_count,changed_unique_action_count,has_large_target_set,is_reversal_event,trigger_is_action,target_is_privacy_tool
ripple-fincen-xrp-2015,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
russia-election-interference-ofac-2020,S1_ofac_sdn,comparison,empirical_case,1,1,2,1,1,1.0,,13560.82,13560.82,0.0,1,0,0,0,1,0.0,,1,0,1,3,0,1,1,1,true,false,false,false
russian-cyber-theft-ofac-2020,S1_ofac_sdn,comparison,empirical_case,1,1,2,1,1,1.0,,5217.07,5217.07,0.0,1,0,0,0,1,0.0,,1,0,1,3,0,1,1,1,false,false,false,false
russian-cybercrime-infra-ofac-2025,S1_ofac_sdn,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,false,false,false,false
samourai-doj-2024,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,3,1,1,1.0,,19.66,19.66,0.0,1,0,0,0,1,0.0,,1,0,2,1,1,0,1,1,false,false,false,false
sec-beaxy-platform-shutdown-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,3,2,2,1.0,,0.0,0.0,0.0,2,0,0,0,2,0.0,,2,0,1,2,0,0,2,2,false,false,false,false
sec-burnside-bitcoin-stock-exchange-2014,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,2,0,0,0,2,0.0,,2,0,0,4,0,0,2,2,false,false,false,false
sec-shavers-btcst-2013,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
sec-v-binance-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,72.0,72.0,0.0,0,1,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,false,false
sec-v-coinbase-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,2,1,1,1.0,,912.0,912.0,0.0,0,1,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,false,false
